w_sla,w_drop,policy,scenario,seed,mean_reward,sla_violation_rate,embb_goodput_mbps,urllc_rtt_p95_ms,guardrail_intervention_rate
0.5,0.5,static_safe,burst,102,0.0977408787089377,0.0,1.9830109600958732,2.0,0.0
0.5,0.5,static_safe,ramp,100,0.11840240947854032,0.0,1.84938778204917,2.0,0.0
0.5,0.5,static_safe,ramp,101,0.12463839884053461,0.0,1.8436361776096581,2.0,0.0
0.5,0.5,static_safe,ramp,102,0.11875462592196458,0.0,1.8448302751377692,2.0,0.0
0.5,0.5,static_safe,sawtooth,100,0.1670742265227904,0.0,1.9922297255918575,2.0,0.0
0.5,0.5,static_safe,sawtooth,101,0.17399408857848844,0.0,1.9941276136904849,2.0,0.0
0.5,0.5,static_safe,sawtooth,102,0.17033379406558585,0.0,1.9980622480420578,2.0,0.0
0.5,0.5,static_equal,adversarial,100,0.15647150880962082,0.0,3.395242005285787,5.68241230099818,0.0
0.5,0.5,static_equal,adversarial,101,0.15342524399403296,0.0,3.3909151877580483,5.526508884914903,0.0
0.5,0.5,static_equal,adversarial,102,0.13723521654548954,0.0,3.381531376091246,5.510993157443726,0.0
0.5,0.5,static_equal,burst,100,0.18944182933579856,0.0,2.638148374219868,3.375821129945088,0.0
0.5,0.5,static_equal,burst,101,0.18992301358016322,0.0,2.6683406589690977,3.4143939649152855,0.0
0.5,0.5,static_equal,burst,102,0.19062313818865442,0.0,2.661359340253915,3.3925483282844473,0.0
0.5,0.5,static_equal,ramp,100,0.2798911544442255,0.0,2.9287886320373016,2.526728700100383,0.0
0.5,0.5,static_equal,ramp,101,0.28149590832765664,0.0,2.8975205928722274,2.536807776822698,0.0
0.5,0.5,static_equal,ramp,102,0.27631844820122653,0.0,2.9018801010636865,2.537603211412665,0.0
0.5,0.5,static_equal,sawtooth,100,0.31898854253406245,0.0,3.0121610446016285,3.2987672210325774,0.0
0.5,0.5,static_equal,sawtooth,101,0.3218245021324071,0.0,2.9950740655246606,3.289924767956022,0.0
0.5,0.5,static_equal,sawtooth,102,0.3200873925462144,0.0,3.008194130571307,3.356470848367056,0.0
0.5,0.5,threshold,adversarial,100,0.26807812891774213,0.03333333333333333,4.8832488991682705,3.8319866141594794,0.040740740740740744
0.5,0.5,threshold,adversarial,101,0.2924109864787544,0.02962962962962963,4.967442341304454,4.624337027824596,0.02962962962962963
0.5,0.5,threshold,adversarial,102,0.2777618199276423,0.02962962962962963,4.957057590422353,3.8162045194398626,0.02962962962962963
0.5,0.5,threshold,burst,100,0.1604815846607721,0.014814814814814815,2.7736888799912043,5.247695647402504,0.037037037037037035
0.5,0.5,threshold,burst,101,0.15899905492815014,0.014814814814814815,2.788924174004335,5.265976613934069,0.037037037037037035
0.5,0.5,threshold,burst,102,0.16385051419045743,0.014814814814814815,2.796853762684271,5.328117909824268,0.044444444444444446
0.5,0.5,threshold,ramp,100,0.3430002836651336,0.0,3.3999737342753846,4.214598528794499,0.037037037037037035
0.5,0.5,threshold,ramp,101,0.3301878404905197,0.003703703703703704,3.3375831689658244,4.198676597750054,0.03333333333333333
0.5,0.5,threshold,ramp,102,0.3374408858181894,0.0,3.3654325221508907,4.1903288488059856,0.02962962962962963
0.5,0.5,threshold,sawtooth,100,0.33911942240970877,0.018518518518518517,3.5135522107160293,5.300167895106024,0.08888888888888889
0.5,0.5,threshold,sawtooth,101,0.3707729493521864,0.007407407407407408,3.542093561839008,5.234362730394207,0.08148148148148149
0.5,0.5,threshold,sawtooth,102,0.3404551453303809,0.018518518518518517,3.5335246483879126,5.409917894466877,0.09259259259259259
0.5,0.5,linucb,adversarial,100,0.23908646637178302,0.037037037037037035,4.645026318242916,5.412617537784214,0.14814814814814814
0.5,0.5,linucb,adversarial,101,0.19124673422584437,0.040740740740740744,4.291492904770971,5.009271556012041,0.16666666666666666
0.5,0.5,linucb,adversarial,102,0.21934120865235382,0.040740740740740744,4.61504436285019,5.660897945904693,0.2
0.5,0.5,linucb,burst,100,0.18228450428081366,0.007407407407407408,2.79845701860863,5.199732610140982,0.037037037037037035
0.5,0.5,linucb,burst,101,0.18115120402935303,0.007407407407407408,2.8452682550526522,5.340094620568426,0.15925925925925927
0.5,0.5,linucb,burst,102,0.17710900059897036,0.007407407407407408,2.7998960853517967,5.328117909824268,0.29259259259259257
0.5,0.5,linucb,ramp,100,0.3224580378331087,0.003703703703703704,3.354049928934195,5.535037408949034,0.36666666666666664
